model,accuracy,precision_macro,recall_macro,f1_macro,f1_weighted,train_time_min,trainable_params_M
Siamese-Triplet + FC,0.6704,0.6143,0.6688,0.6135,0.656,91.6677,0.0036
Siamese-Triplet + XGBoost,0.7183,0.6514,0.6657,0.6525,0.7202,0.1367,
